1731585548.000000, 1731585548.000000, 1731585548.000000
32.000000, 32.000000, 32.000000
33,-2,34
36,-9,17
34,-5,86
34,-3,-12
34,-1,50
36,6,81
34,-5,44
34,-11,68
34,-5,8
32,2,1
34,3,58
36,-5,87
34,-2,36
34,-3,34
38,-9,54
34,-3,58
32,-2,48
33,8,97
33,-1,69
32,1,25
34,-5,53
34,-6,115
38,-9,69
34,-9,79
34,2,120
34,-2,103
33,-2,77
36,-4,127
32,-2,58
36,1,48
34,-5,127
32,10,12
33,6,13
33,-4,46
32,7,127
35,-5,93
34,-5,51
34,-5,95
32,-5,23
34,-4,61
32,22,57
34,8,59
34,1,91
37,-9,127
36,3,44
35,-5,110
34,-2,47
36,-1,87
36,3,52
34,-4,67
32,-1,-33
32,4,97
34,-3,8
32,-3,37
33,-1,84
32,-2,24
34,-5,56
34,1,120
32,7,41
37,-9,82
34,7,76
33,10,73
34,-2,22
36,-5,42
33,0,127
36,-5,117
34,-5,88
32,-1,103
35,-5,66
34,5,24
32,3,-1
36,3,116
33,8,95
33,-3,50
34,16,66
32,9,-14
35,6,86
34,3,31
34,-7,58
34,7,34
32,0,4
32,9,-14
34,-9,56
32,-2,-30
34,-2,93
34,-2,21
36,-9,118
35,-5,90
34,-5,49
34,-2,55
33,-5,112
36,-5,32
35,-9,70
33,7,37
34,-5,24
36,-9,74
32,7,31
34,-9,66
32,-5,-8
33,-3,40
32,14,127
34,3,22
36,9,77
33,-2,21
32,5,-2
32,-1,115
34,-7,39
36,3,51
36,-9,67
34,2,90
38,-9,62
34,-7,5
34,5,97
36,3,64
37,-9,111
34,1,31
34,-2,91
34,-5,127
34,-2,63
34,5,110
35,1,91
34,-5,111
34,-5,17
32,3,96
32,-2,0
34,-5,24
32,-5,-31
32,-2,-44
32,5,44
33,-7,77
33,2,101
33,-3,116
34,-1,47
32,-3,27
33,2,89
35,-2,127
32,23,70
34,11,94
35,-9,35
32,5,38
32,12,87
33,-2,52
34,7,87
34,-2,28
34,-9,56
35,-5,68
35,-1,103
36,-5,34
34,-3,30
33,5,49
32,18,-2
32,-2,11
33,-9,52
32,-4,53
35,-5,127
33,0,56
36,-5,82
33,-3,63
32,-1,48
34,5,31
32,9,127
34,-7,33
32,9,4
34,3,76
36,-5,127
34,-5,97
34,-2,36
32,13,111
33,-3,44
34,-2,121
35,-4,109
34,4,63
35,-4,91
32,-2,-19
34,5,45
32,20,40
34,1,118
34,-7,49
34,-2,83
32,-2,87
32,3,31
34,-5,-37
34,-1,79
38,-9,59
32,-5,3
34,-9,31
33,5,56
33,8,120
34,-6,112
34,-2,73
36,3,40
31,-5,2
32,5,46
34,-2,22
34,-5,42
32,-3,26
36,1,59
32,6,79
34,-5,58
36,-6,109
34,-5,38
32,-9,-64
32,-3,8
34,-5,77
35,-4,96
34,6,99
34,-7,39
34,6,78
33,-3,42
35,-5,127
33,-1,36
33,5,8
34,-2,70
33,1,127
36,0,54
33,-5,25
35,-5,127
33,-3,101
33,5,75
32,-5,36
34,-1,87
34,-5,-7
33,-7,-100
32,-2,13
33,-5,9
35,-9,59
35,-5,93
34,-9,56
35,-4,114
32,7,43
36,-9,29
36,-5,38
34,7,28
36,-7,16
38,-9,121
36,-5,58
36,-5,56
33,-2,73
34,-2,104
36,0,82
34,-5,42
32,16,28
36,-9,73
32,12,68
34,-9,19
